estimator	min_score	mean_score	max_score	std_score	cls__criterion	cls__max_depth	cls__max_features	tfidf__use_idf	vect__ngram_range	cls__C	cls__loss	cls__alpha	cls__kernel	cls__n_estimators
SVC	0.9476	0.9652499999999999	0.9802	0.009881523161942189				False	(1, 2)	100.0			rbf	
SVC	0.9476	0.9652499999999999	0.9802	0.009881523161942189				False	(1, 2)	10.0			rbf	
SVC	0.9501	0.9649699999999999	0.9767999999999999	0.007549841057929631				True	(1, 2)	2.0			rbf	
SVC	0.9503	0.96494	0.977	0.007769839123173634				True	(1, 2)	10.0			rbf	
SVC	0.9503	0.96494	0.977	0.007769839123173634				True	(1, 2)	100.0			rbf	
SVC	0.9464	0.96487	0.9788	0.009626738803977167				False	(1, 2)	2.0			rbf	
LinearSVC	0.9450999999999999	0.9647599999999998	0.9769	0.008706342515660652				True	(1, 2)	2.0	squared_hinge			
SVC	0.9443	0.9647300000000001	0.9766	0.008612554789375821				True	(1, 2)	2.0			linear	
LinearSVC	0.9443	0.9647300000000001	0.9766	0.008612554789375821				True	(1, 2)	2.0	hinge			
LinearSVC	0.9459000000000001	0.96452	0.9763000000000001	0.008768215325823128				True	(1, 2)	1.0	squared_hinge			
LinearSVC	0.948	0.96416	0.9755	0.009033958157972649				True	(1, 2)	1.0	hinge			
SVC	0.948	0.96416	0.9755	0.00903395815797265				True	(1, 2)	1.0			linear	
LinearSVC	0.9465	0.9640500000000001	0.9753	0.008537944717553494				True	(1, 2)	0.8	squared_hinge			
LinearSVC	0.9467	0.9636699999999999	0.9752	0.008635050665745958				True	(1, 2)	0.7	squared_hinge			
LinearSVC	0.9429	0.9633700000000001	0.9762000000000001	0.008754775839506125				True	(1, 2)	10.0	squared_hinge			
SVC	0.9459000000000001	0.9632400000000001	0.9743	0.00847103299485961				True	(1, 2)	2.0			sigmoid	
SVC	0.9417	0.96316	0.9733	0.009371680745736079				False	(1, 2)	2.0			linear	
LinearSVC	0.9417	0.9631500000000001	0.9733	0.009369124825724136				False	(1, 2)	2.0	hinge			
LinearSVC	0.9417	0.9631000000000001	0.9754	0.009714936952960652				False	(1, 2)	2.0	squared_hinge			
LinearSVC	0.9462999999999999	0.96279	0.9753	0.01023097747040823				True	(1, 2)	0.8	hinge			
